trial,bath,location,temp,pred,surv
3,13,2,32.89,Indica,1
3,9,6,28.89,Indica,2
2,10,6,33.61,Indica,4
1,15,1,30.50,Indica,5
2,5,3,28.67,Indica,7
8,3,2,35.00,Indica,7
8,12,6,29.89,Indica,7
9,4,4,34.28,Pachy,8
3,2,4,26.78,Indica,9
5,12,1,29.89,Tramea,9
7,3,1,34.28,Indica,9
8,16,1,28.78,Indica,9
9,2,1,32.11,Pachy,9
3,1,6,35.89,Indica,11
4,6,5,30.39,Indica,11
4,1,2,32.00,Tramea,12
3,16,2,25.11,Indica,14
3,6,6,19.28,Indica,15
9,15,2,26.28,Pachy,15
9,2,6,32.11,Pachy,16
3,13,5,32.89,Buenoa,17
6,8,3,34.89,Pachy,18
9,4,1,34.28,Pachy,18
1,13,6,20.50,Indica,19
9,15,1,26.28,Indica,19
9,16,5,30.72,Pachy,19
4,1,5,32.00,Indica,21
2,11,3,26.28,Indica,22
5,13,2,25.11,Tramea,22
3,6,2,19.28,Irrorata,23
2,5,1,28.67,Buenoa,25
3,1,3,35.89,Copto,26
9,4,3,34.28,Indica,26
5,14,1,26.89,Tramea,27
2,2,5,24.28,Indica,28
6,12,6,34.72,Tramea,28
1,1,4,33.22,Indica,30
9,6,2,27.11,Pachy,30
9,2,3,32.11,Pachy,31
2,3,4,28.67,Indica,32
2,5,5,28.67,Copto,32
3,1,1,35.89,Buenoa,32
9,6,3,27.11,Pachy,32
2,10,1,33.61,Copto,33
3,10,6,12.28,Indica,34
9,6,6,27.11,Indica,34
6,8,2,34.89,Copto,36
6,12,2,34.72,Pachy,36
9,16,3,30.72,Indica,39
2,13,3,19.89,Indica,40
4,6,1,30.39,Tramea,40
5,16,1,34.39,Indica,40
2,3,6,28.67,Buenoa,41
6,12,5,34.72,Copto,41
9,15,3,26.28,Pachy,41
4,8,5,32.00,Tramea,43
5,7,3,32.00,Copto,43
6,8,4,34.89,Buenoa,43
8,3,1,35.00,Copto,43
2,10,5,33.61,Buenoa,44
5,6,6,33.72,Copto,44
