"","Trial","Bath","backmortProp","backmortNum","Location","Predmass","Temp.C","Temp.F","Temp1","Temp2","Pred","Surv","Counter","Observer","Eggs.","Molt.","Dead","Numeaten","Temp2C","Scaledpredmass"
"1","9","4",0.0748900879753349,7.48900879753349,"3",0.0196851851851852,35,95,95.5,93.7,"Indica",26,"L","L","N","N",74,66.5109912024665,34.2777777777778,0.139502206451964
"2","1","1",0.0706527172094115,7.06527172094115,"4",0.0196851851851852,32,89,90.5,91.8,"Indica",30,"","","N","N",70,62.9347282790589,33.2222222222222,NA
"3","1","4",0.0207113096444836,2.07113096444836,"6",0.0196851851851852,12,53.6,54,53.1,"Indica",51,"","","N","N",49,46.9288690355516,11.7222222222222,-0.464607332281748
"4","1","9",0.0174404775343833,1.74404775343833,"4",0.0196851851851852,4,39.2,41.2,47.8,"Indica",82,"","","N","N",18,16.2559522465617,8.77777777777778,-0.477740148341177
"5","1","13",0.0344299788804953,3.44299788804953,"6",0.0196851851851852,20,68,68.2,68.9,"Indica",19,"","","N","N",81,77.5570021119505,20.5,-0.293880723509178
"6","1","14",0.0442511778054339,4.42511778054339,"1",0.0196851851851852,25,77,76.6,76.8,"Indica",71,"","","N","N",29,24.5748822194566,24.8888888888889,0.0213068619171072
"7","1","15",0.0607278827680549,6.07278827680549,"1",0.0196851851851852,30,86,83.7,86.9,"Indica",5,"","","N","N",95,88.9272117231945,30.5,0.106670166303393
"8","1","16",0.0501935723986913,5.01935723986913,"1",0.0196851851851852,27,80.6,81.1,80.8,"Indica",65,"","","N","N",35,29.9806427601309,27.1111111111111,-0.49743937243032
"9","2","2",0.0427383677911788,4.27383677911788,"5",0.0196851851851852,25,77,75.9,75.7,"Indica",28,"","","N","N",72,67.7261632208821,24.2777777777778,-0.753529285589176
"10","2","3",0.0547950523410656,5.47950523410656,"4",0.0196851851851852,30,86,84.4,83.6,"Indica",32,"","","N","N",68,62.5204947658934,28.6666666666667,0.0344396779765359
"11","2","5",0.0547950523410656,5.47950523410656,"3",0.0196851851851852,35,95,94.3,83.6,"Indica",7,"","","N","N",93,87.5204947658934,28.6666666666667,-0.26761509139032
"12","2","9",0.0178995373790706,1.78995373790706,"3",0.0196851851851852,4,39.2,46,48.6,"Indica",65,"","","N","N",35,33.2100462620929,9.22222222222222,-0.182251787004035
"13","2","10",0.0721874448636313,7.21874448636313,"6",0.0196851851851852,32,89.6,86.9,92.5,"Indica",4,"","","N","N",96,88.7812555136369,33.6111111111111,-0.45147451622232
"14","2","11",0.0478814245870665,4.78814245870665,"3",0.0196851851851852,27,80.6,80.6,79.3,"Indica",22,"","","N","N",78,73.2118575412934,26.2777777777778,-0.563103452727463
"15","2","13",0.0332412473760574,3.32412473760574,"3",0.0196851851851852,20,68,67.6,67.8,"Indica",40,"","","N","N",60,56.6758752623943,19.8888888888889,-0.346411987746892
"16","3","1",0.0818091919961262,8.18091919961262,"6",0.0196851851851852,35,95,94.6,96.6,"Indica",11,"","Z","N","N",89,80.8190808003874,35.8888888888889,0.152635022511393
"17","3","2",0.0492562872784558,4.92562872784558,"4",0.0196851851851852,27,80.6,82,80.2,"Indica",9,"","L","N","N",91,86.0743712721544,26.7777777777778,-0.0706228504988924
"18","3","6",0.0320921939857675,3.20921939857675,"6",0.0196851851851852,20,68,69.8,66.7,"Indica",15,"","Z","N","N",85,81.7907806014233,19.2777777777778,-0.0509236264097495
"19","3","9",0.0554840132652906,5.54840132652906,"6",0.0196851851851852,30,86,89.5,84,"Indica",2,"","L","N","N",98,92.4515986734709,28.8888888888889,-0.287314315479463
"20","3","10",0.0213925870912486,2.13925870912486,"6",0.0196851851851852,12,53.6,54,54.1,"Indica",34,"","Z","N","N",66,63.8607412908751,12.2777777777778,0.139502206451964
