Trial,Bath,Location,Temp.C,Temp.F,Temp1,Temp2,Pred,Surv,Counter,Observer,Eggs?,Molt?
9,2,1,32,89.6,90.1,89.8,Pachy,9,L,L,N,N
9,2,2,32,89.6,90.1,89.8,Copto,54,Z,L,N,N
9,2,3,32,89.6,90.1,89.8,Pachy,31,Z,L,N,N
9,2,4,32,89.6,90.1,89.8,Control,100,L,L,N,N
9,2,5,32,89.6,90.1,89.8,Indica,47,L,L,N,N
9,2,6,32,89.6,90.1,89.8,Pachy,16,Z,L,N,N
9,3,2,20,68,70.2,69.6,Pachy,47,L,Z,N,N
9,3,3,20,68,70.2,69.6,Pachy,80,Z,Z,N,N
9,3,4,20,68,70.2,69.6,Copto,64,L,Z,N,N
9,3,5,20,68,70.2,69.6,Control,96,Z,Z,N,N
9,3,6,20,68,70.2,69.6,Indica,60,Z,Z,N,N
9,4,1,35,95,95.5,93.7,Pachy,18,Z,L,N,N
9,4,2,35,95,95.5,93.7,Control,93,Z,L,N,N
9,4,3,35,95,95.5,93.7,Indica,26,L,L,N,N
9,4,4,35,95,95.5,93.7,Pachy,8,L,L,N,N
9,4,5,35,95,95.5,93.7,Copto,60,Z,L,N,N
9,4,6,35,95,95.5,93.7,Buenoa,59,L,L,N,N
9,5,1,12,53.6,52.9,52.7,Copto,92,L,L,N,N
9,5,2,12,53.6,52.9,52.7,Indica,47,L,L,N,N
9,5,3,12,53.6,52.9,52.7,Pachy,92,Z,L,N,N
9,5,4,12,53.6,52.9,52.7,Control,94,Z,L,N,N
9,5,5,12,53.6,52.9,52.7,Pachy,73,L,L,N,N
9,6,2,27,80.6,81.1,80.8,Pachy,30,Z,L,N,Y
9,6,3,27,80.6,81.1,80.8,Pachy,32,Z,Z,N,Y
9,6,4,27,80.6,81.1,80.8,Control,99,,Z,N,N
9,6,5,27,80.6,81.1,80.8,Copto,47,L,Z,N,N
9,6,6,27,80.6,81.1,80.8,Indica,34,L,Z,N,N
9,10,1,4,39.2,44.6,45.1,Pachy,56,L,Z,N,N
9,10,2,4,39.2,44.6,45.1,Pachy,63,Z,Z,N,N
9,10,3,4,39.2,44.6,45.1,Copto,92,L,Z,N,N
9,10,4,4,39.2,44.6,45.1,Control,78,Z,Z,N,N
9,10,5,4,39.2,44.6,45.1,Buenoa,81,L,Z,N,N
9,10,6,4,39.2,44.6,45.1,Indica,49,Z,Z,N,N
9,15,1,25,77,79.9,79.3,Indica,19,Z,Z,Y,N
9,15,2,25,77,79.9,79.3,Pachy,15,Z,Z,N,N
9,15,3,25,77,79.9,79.3,Pachy,41,L,Z,N,N
9,15,5,25,77,79.9,79.3,Control,96,L,Z,N,N
9,15,6,25,77,79.9,79.3,Copto,62,L,Z,N,N
9,16,1,30,86,86.7,87.3,Copto,57,L,Z,N,N
9,16,2,30,86,86.7,87.3,Buenoa,66,L,Z,N,N
9,16,3,30,86,86.7,87.3,Indica,39,L,Z,N,N
9,16,4,30,86,86.7,87.3,Control,97,Z,Z,N,N
9,16,5,30,86,86.7,87.3,Pachy,19,Z,Z,N,N
9,16,6,30,86,86.7,87.3,Pachy,57,Z,Z,N,N
