Trial,Bath,Location,Temp C,Temp F,Temp1,Temp2,Pred,Surv,Counter,Observer,Eggs?,Molt?
1,1,1,32,89,90.5,91.8,Copto,57,,,N,N
1,1,2,32,89,90.5,91.8,Buenoa,67,,,N,N
1,1,3,32,89,90.5,91.8,Irrorata,90,,,N,N
1,1,4,32,89,90.5,91.8,Indica,30,,,N,N
1,1,6,32,89,90.5,91.8,Control,98,,,N,N
1,4,1,12,53.6,54,53.1,Irrorata,93,,,N,N
1,4,2,12,53.6,54,53.1,Buenoa,97,,,N,N
1,4,4,12,53.6,54,53.1,Control,96,,,N,N
1,4,5,12,53.6,54,53.1,Copto,87,,,N,N
1,4,6,12,53.6,54,53.1,Indica,51,,,N,N
1,9,1,4,39.2,41.2,47.8,Irrorata,NA,,,N,N
1,9,2,4,39.2,41.2,47.8,Copto,101,,,N,N
1,9,3,4,39.2,41.2,47.8,Buenoa,96,,,N,N
1,9,4,4,39.2,41.2,47.8,Indica,82,,,N,N
1,9,6,4,39.2,41.2,47.8,Control,104,,,N,N
1,13,1,20,68,68.2,68.9,Irrorata,98,,,N,N
1,13,3,20,68,68.2,68.9,Buenoa,52,,,N,N
1,13,4,20,68,68.2,68.9,Copto,83,,,N,N
1,13,5,20,68,68.2,68.9,Control,94,,,N,N
1,13,6,20,68,68.2,68.9,Indica,19,,,N,N
1,14,1,25,77,76.6,76.8,Indica,71,,,N,N
1,14,3,25,77,76.6,76.8,Irrorata,81,,,N,N
1,14,4,25,77,76.6,76.8,Control,100,,,N,N
1,14,5,25,77,76.6,76.8,Copto,84,,,N,N
1,14,6,25,77,76.6,76.8,Buenoa,85,,,N,N
1,15,1,30,86,83.7,86.9,Indica,5,,,N,N
1,15,2,30,86,83.7,86.9,Irrorata,92,,,N,N
1,15,3,30,86,83.7,86.9,Control,95,,,N,N
1,15,5,30,86,83.7,86.9,Buenoa,NA,,,N,N
1,15,6,30,86,83.7,86.9,Copto,65,,,N,N
1,16,1,27,80.6,81.1,80.8,Indica,65,,,N,N
1,16,3,27,80.6,81.1,80.8,Buenoa,61,,,N,N
1,16,4,27,80.6,81.1,80.8,Control,94,,,N,N
1,16,5,27,80.6,81.1,80.8,Irrorata,97,,,N,N
1,16,6,27,80.6,81.1,80.8,Copto,68,,,N,N
2,2,1,25,77,75.9,75.7,Pachy,96,,,N,N
2,2,2,25,77,75.9,75.7,Buenoa,61,,,N,N
2,2,3,25,77,75.9,75.7,Copto,69,,,N,N
2,2,4,25,77,75.9,75.7,Irrorata,91,,,N,N
2,2,5,25,77,75.9,75.7,Indica,28,,,N,N
2,2,6,25,77,75.9,75.7,Control,93,,,N,N
2,3,1,30,86,84.4,83.6,Copto,50,,,N,N
2,3,2,30,86,84.4,83.6,Irrorata,79,,,N,N
2,3,3,30,86,84.4,83.6,Pachy,97,,,N,N
2,3,4,30,86,84.4,83.6,Indica,32,,,N,N
2,3,5,30,86,84.4,83.6,Control,95,,,N,N
2,3,6,30,86,84.4,83.6,Buenoa,41,,,N,N
2,5,1,35,95,94.3,83.6,Buenoa,25,,,N,N
2,5,2,35,95,94.3,83.6,Pachy,56,,,N,N
2,5,3,35,95,94.3,83.6,Indica,7,,,N,N
2,5,4,35,95,94.3,83.6,Control,60,,,N,N
2,5,5,35,95,94.3,83.6,Copto,32,,,N,N
2,5,6,35,95,94.3,83.6,Irrorata,61,,,N,N
2,9,1,4,39.2,46,48.6,Copto,91,,,N,N
2,9,2,4,39.2,46,48.6,Buenoa,89,,,N,N
2,9,3,4,39.2,46,48.6,Indica,65,,,N,N
2,9,4,4,39.2,46,48.6,Control,90,,,N,N
2,9,5,4,39.2,46,48.6,Irrorata,89,,,N,N
2,9,6,4,39.2,46,48.6,Pachy,92,,,N,N
2,10,1,32,89.6,86.9,92.5,Copto,33,,,N,N
2,10,2,32,89.6,86.9,92.5,Pachy,47,,,N,N
2,10,3,32,89.6,86.9,92.5,Irrorata,80,,,N,N
2,10,4,32,89.6,86.9,92.5,Control,62,,,N,N
2,10,5,32,89.6,86.9,92.5,Buenoa,44,,,N,N
2,10,6,32,89.6,86.9,92.5,Indica,4,,,N,N
2,11,1,27,80.6,80.6,79.3,Buenoa,74,,,N,N
2,11,2,27,80.6,80.6,79.3,Irrorata,90,,,N,N
2,11,3,27,80.6,80.6,79.3,Indica,22,,,N,N
2,11,4,27,80.6,80.6,79.3,Copto,59,,,N,N
2,11,5,27,80.6,80.6,79.3,Pachy,NA,,,N,N
2,11,6,27,80.6,80.6,79.3,Control,97,,,N,N
2,13,1,20,68,67.6,67.8,Control,98,,,N,N
2,13,2,20,68,67.6,67.8,Pachy,74,,,N,N
2,13,3,20,68,67.6,67.8,Indica,40,,,N,N
2,13,4,20,68,67.6,67.8,Buenoa,71,,,N,N
2,13,5,20,68,67.6,67.8,Irrorata,86,,,N,N
2,13,6,20,68,67.6,67.8,Copto,69,,,N,N
3,1,1,35,95,94.6,96.6,Buenoa,32,,Z,N,N
3,1,2,35,95,94.6,96.6,Irrorata,49,,Z,N,N
